,date,Zipcode,LAT,LNG,transaction_size,job_class,clusterName,logSumDollars,predicted,diff,Rank,logDollars
5736694,2016-06-08,98312,47.573702,-122.786447,<= $20,business,"Families, Low Density",12.2451010325,11.4600356419,-113111.54922,2962.0,2.7080502011
16845504,2016-07-27,16028,40.951294,-79.635593,<= $20,Not Listed,"White, Middle income Single Family",10.1459630321,7.78320180367,-23088.0533098,6662.0,1.60943791243
15908109,2016-04-16,95327,37.861625,-120.480322,<= $100,Not Listed,"White, Middle income Single Family",9.56465252673,10.7371689091,31783.536467,22356.0,3.295836866
8452354,2015-11-11,95616,38.554133,-121.798467,<= $20,Not Listed,"Homeowners, Families",14.2706264122,13.2277466128,-1020787.82223,477.0,2.30258509299
16736136,2015-10-29,92703,33.747155,-117.907326,<= $100,Not Listed,"Hispanic, non citizens, low income",10.5579718643,11.0385166619,23742.2821714,21799.0,4.60517018599
6565123,2016-04-30,19805,39.743799,-75.593842,<= $100,technology,"Low Income, African American",12.0471413903,11.239277774,-94551.0005699,3281.0,3.91202300543
5532771,2015-04-21,50310,41.627582,-93.67266,<= $20,retired,"Families, Low Density",11.8214096651,11.8244801948,418.652044254,13473.0,2.99573227355
5749065,2015-06-04,98075,47.586092,-122.037436,<= $1000,medical,"Suburban, White, Wealthy",12.6288175935,12.3699430125,-69616.6820982,3929.0,6.21460809842
8246703,2015-10-15,50613,42.53138,-92.485808,<= $100,Not Listed,"Families, Low Density",13.8503254258,12.2233568533,-831941.111206,600.0,4.12713438505
84232,2016-01-26,84095,40.557499,-111.979453,<= $100,retired,"White, Middle income Single Family",12.2673746849,12.2205653784,-9724.34766806,8803.0,3.91202300543
1081408,2016-03-31,70005,29.999416,-90.134065,<= $100,business,"Families, Low Density",13.8438958564,12.0525656163,-857253.052957,583.0,3.21887582487
8151507,2015-12-31,10017,40.75236,-73.972493,<= $100,Not Listed,"White, Middle income Single Family",16.2460873779,11.5518856858,-11261463.0877,38.0,4.14313472639
7084875,2016-05-31,23320,36.751734,-76.217637,<= $100,Not Listed,"Families, Low Density",12.8177060369,12.0272973763,-201429.236149,1938.0,3.68887945411
1010987,2016-07-31,20004,38.894885,-77.028638,<= $1000,legal,Wealthy Urbanites (Renters),15.3556594836,11.9047056937,-4517323.75006,108.0,4.8283137373
13052206,2015-11-30,58341,47.782102,-99.844409,<= $100,homemaker,"White, Middle income Single Family",9.91857318995,9.51761711443,-6706.82792518,9622.0,3.91202300543
2683031,2015-10-15,06460,41.214266,-73.050812,<= $100,Not Listed,"Suburban, White, Wealthy",12.0560808057,12.3627483871,61780.2588932,23340.0,3.73766961828
333738,2016-03-04,20001,38.910353,-77.017739,<= $100,creative,Wealthy Urbanites (Renters),16.3013695042,12.4580801634,-11754111.8581,34.0,4.12713438505
9568958,2015-10-23,43235,40.118363,-83.027626,<= $20,Not Listed,"Families, Low Density",13.9565065212,12.9713603492,-721497.452565,683.0,2.30258509299
3691761,2015-08-13,52411,42.053802,-91.729225,<= $1000,Not Listed,"Suburban, White, Wealthy",11.8020065583,10.8484299356,-82066.6970932,3564.0,6.21460809842
16841995,2015-12-15,15550,39.978253,-78.649618,<= $1000,Not Listed,"White, Middle income Single Family",9.6905418262,7.79955243197,-13724.4901134,7995.0,4.8283137373
498263,2016-06-06,80601,39.962027,-104.807809,<= $20,Not Listed,"Young Kids, Multi-racial, Low Density",11.3031052624,10.7961278558,-32241.6474529,5769.0,2.7080502011
4385781,2016-01-27,19115,40.090698,-75.042868,<= $100,Not Listed,"Families, Low Density",11.3282571567,10.8443582074,-31893.7750146,5793.0,3.40119738166
7961721,2015-06-15,33609,27.944272,-82.517675,<= $100,Not Listed,"Families, Low Density",13.5440482314,12.1653960326,-570236.084706,821.0,3.43398720449
7562896,2016-02-03,37363,35.115688,-85.063804,<= $20,retired,"Suburban, White, Wealthy",12.7557795018,11.5004654296,-247787.273052,1660.0,2.7080502011
14747518,2016-06-30,07731,40.149537,-74.203987,<= $1000,Not Listed,"Suburban, White, Wealthy",12.1386927582,11.7252839294,-63308.8920462,4137.0,4.62497281328
5592498,2016-06-30,97229,45.551031,-122.809275,<= $20,retired,"Suburban, White, Wealthy",13.8663196351,13.3854463374,-401654.679991,1118.0,1.60943791243
10168369,2016-08-21,27709,35.924393,-78.832764,<= $100,Not Listed,"White, Middle income Single Family",12.8862510944,7.18000178517,-393533.089398,1131.0,3.87120101091
180000,2016-03-07,68164,41.296932,-96.10675,<= $1000,student,"Families, Low Density",11.9888552498,12.1357386231,25465.4862928,21950.0,6.55108033504
12237128,2016-05-31,18969,40.326304,-75.368422,<= $20,Not Listed,"White, Middle income Single Family",11.7018915645,11.0320348214,-58976.7478323,4294.0,1.60943791243
16285768,2015-01-15,23704,36.824187,-76.310161,<= $100,student,"Low Income, African American",10.2545316731,11.209340959,45405.750694,22949.0,3.91202300543
2065134,2016-02-05,75225,32.864887,-96.790359,<= $20,technology,"Homeowners, Families",16.8933642387,13.5335454725,-20957451.9799,13.0,2.99573227355
16075465,2016-02-29,64117,39.164449,-94.522657,<= $100,medical,"Families, Low Density",9.83478035453,10.3220259965,11722.7749658,20160.0,4.60517018599
6225525,2015-04-07,98290,47.955367,-121.978502,<= $100,Not Listed,"White, Middle income Single Family",12.3195486414,11.5851324383,-116545.220789,2910.0,4.18965474203
4767925,2016-08-15,30080,33.86994,-84.498081,<= $20,retired,"Homeowners, Families",12.8372779308,12.6327255724,-69550.8377137,3931.0,0.69314718056
8978231,2015-11-10,18328,41.228522,-74.973952,<= $100,Not Listed,"Suburban, White, Wealthy",10.7210402362,8.55764348059,-40092.6022723,5196.0,3.73766961828
15825470,2016-03-14,94124,37.728895,-122.382779,<= $20,Not Listed,Wealthy Urbanites (Renters),11.9182572309,11.4879958822,-52442.1406907,4585.0,2.7080502011
16881040,2016-08-29,42784,37.451992,-85.932393,<= $20,creative,"White, Middle income Single Family",9.31334812205,7.95871473807,-8224.60576687,9169.0,2.7080502011
8394045,2016-06-29,94708,37.902944,-122.261795,<= $100,Not Listed,"Homeowners, Families",14.7183504313,13.5336354903,-1712230.07644,282.0,4.60517018599
16004722,2015-12-31,43907,40.248304,-81.019537,<= $100,Not Listed,"White, Middle income Single Family",9.82779370817,8.65154976293,-12822.9970318,8166.0,3.80666248977
13101868,2016-09-08,80014,39.663559,-104.838066,<= $100,Not Listed,"Families, Low Density",13.0916649661,11.9867751843,-324267.440671,1338.0,3.21887582487
11742928,2016-04-17,30534,34.4311,-84.144329,<= $20,Not Listed,"White, Middle income Single Family",12.8376528854,10.348521993,-344905.121184,1274.0,2.7080502011
3598773,2015-11-30,20110,38.747172,-77.484536,<= $100,Not Listed,"Homeowners, Families",12.546134859,11.4265603574,-189281.072827,2040.0,4.60517018599
7561860,2016-05-03,37334,35.166452,-86.580895,<= $100,technology,"White, Middle income Single Family",12.4622369607,10.2541333371,-229993.314869,1762.0,3.91202300543
1014000,2016-07-20,20004,38.894885,-77.028638,<= $1000,Not Listed,Wealthy Urbanites (Renters),15.3556594836,11.9047056937,-4517323.75006,108.0,5.52146091786
571003,2016-07-14,40205,38.223001,-85.683261,<= $1000,finance,"Suburban, White, Wealthy",13.0773429987,12.3667080982,-243137.636281,1694.0,5.29831736655
15381564,2016-05-28,98208,47.901777,-122.186999,<= $1000,Not Listed,"Homeowners, Families",11.807049245,11.5590730211,-29472.1075419,5999.0,5.29831736655
9833108,2016-04-03,23228,37.626617,-77.492834,<= $20,medical,"Low Income, African American",12.302255172,11.1263808776,-152251.956801,2402.0,2.7080502011
3093604,2015-05-30,95076,36.946256,-121.756479,<= $100,retired,"Hispanic, non citizens, low income",13.8562138254,11.7369996363,-916426.618358,540.0,3.91202300543
8524356,2016-03-14,07465,41.054855,-74.332764,<= $100,Not Listed,"Homeowners, Families",9.40096073158,9.7310208936,4731.72695462,17829.0,3.17805383035
6415496,2016-01-27,95401,38.449137,-122.793752,<= $100,Not Listed,"Homeowners, Families",11.9436878809,11.6807515523,-35569.9099188,5514.0,3.21887582487
13803128,2016-05-31,01830,42.796313,-71.053436,<= $100,Not Listed,"Families, Low Density",10.9447002218,11.8011886077,76757.8318822,23560.0,3.55534806149
1469414,2016-08-01,55113,45.012196,-93.151186,<= $20,Not Listed,"Families, Low Density",13.0653717732,12.2983975542,-252956.78033,1635.0,0.69314718056
15689911,2016-03-09,14174,43.249139,-78.998325,<= $20,Not Listed,"White, Middle income Single Family",10.0698914259,10.8855616224,29778.7649054,22239.0,2.56494935746
16460631,2016-02-22,46068,40.376963,-86.115827,<= $100,retired,"White, Middle income Single Family",7.89803969076,7.63031639847,-632.298396819,12481.0,3.40119738166
1213328,2015-04-30,22102,38.95095,-77.229544,<= $1000,Not Listed,"Homeowners, Families",15.6080344017,12.7594310326,-5656771.25243,86.0,6.02827852023
14158254,2016-07-31,55303,45.288298,-93.431102,<= $100,retired,"White, Middle income Single Family",12.3516135099,11.3970832151,-142271.429308,2542.0,3.21887582487
2175905,2016-07-31,22207,38.906665,-77.124238,<= $1000,Not Listed,"Homeowners, Families",16.387039912,14.2132181659,-11597413.2327,36.0,6.21460809842
4492671,2015-08-14,22042,38.865024,-77.197125,<= $20,Not Listed,"Homeowners, Families",15.7270667377,13.0868879913,-6281032.75501,77.0,2.99573227355
1800811,2016-05-02,90265,34.066117,-118.846342,<= $20,Not Listed,"Homeowners, Families",15.856399923,12.9436856133,-7279264.31691,68.0,1.60943791243
6734105,2015-07-23,79106,35.203066,-101.895003,<= $20,Not Listed,"Families, Low Density",12.2267866221,11.346054522,-119555.117357,2859.0,2.7080502011
1425352,2016-05-14,92867,33.80098,-117.843772,<= $20,legal,"Homeowners, Families",12.6527180839,12.0993109728,-132864.03166,2663.0,2.7080502011
14867664,2016-04-23,10037,40.812957,-73.937376,<= $100,Not Listed,Wealthy Urbanites (Renters),11.5352054133,11.5980788516,6635.40741233,18679.0,3.295836866
4636561,2015-08-25,44149,41.315913,-81.856217,<= $1000,medical,"Suburban, White, Wealthy",11.5518480568,11.6998845747,16588.7987602,21003.0,6.90775527898
9060686,2016-04-08,05602,44.274953,-72.609475,<= $20,Not Listed,"Families, Low Density",12.5171611379,11.5553361943,-168649.708594,2228.0,2.7080502011
16352188,2015-10-10,49738,44.698328,-84.609421,<= $20,retired,"White, Middle income Single Family",10.9674566353,9.32149134156,-46781.3638777,4843.0,1.60943791243
7196578,2015-08-07,92780,33.734005,-117.819163,<= $100,Not Listed,"Hispanic, non citizens, low income",12.8002085557,11.8287752323,-225150.579259,1792.0,4.11087386417
12691803,2016-06-11,94014,37.690884,-122.447441,<= $100,Not Listed,Wealthy Urbanites (Renters),12.2391108246,11.6758425676,-89024.0879547,3394.0,3.49650756147
4235702,2015-12-05,60093,42.106708,-87.756292,<= $20,Not Listed,"Homeowners, Families",15.5939409214,13.0985588045,-5432317.73946,88.0,2.30258509299
10531651,2016-08-07,19711,39.713598,-75.741073,<= $1000,Not Listed,"Suburban, White, Wealthy",12.7570973498,12.899744075,53203.7545386,23182.0,5.29831736655
2729167,2016-06-02,10028,40.776441,-73.953509,<= $5000,Not Listed,Wealthy Urbanites (Renters),16.4080140959,14.4975912951,-11385195.8711,37.0,7.82404601086
321789,2015-12-24,20001,38.910353,-77.017739,<= $100,Not Listed,Wealthy Urbanites (Renters),16.3013695042,12.4580801634,-11754111.8581,34.0,3.21887582487
12719569,2016-04-15,80301,40.049468,-105.201421,<= $20,Not Listed,"Families, Low Density",13.3125439709,13.5671189648,175320.419444,24028.0,2.7080502011
11048234,2016-04-11,48315,42.671835,-82.997399,<= $100,Not Listed,"Suburban, White, Wealthy",11.8706278809,12.3391863278,85471.9718482,23663.0,3.63758615973
2461908,2015-11-05,76016,32.689222,-97.18913,<= $100,business,"Suburban, White, Wealthy",12.4323353273,12.5869039802,41919.1485449,22841.0,4.2341065046
3754163,2016-05-14,20832,39.150347,-77.07824,<= $20,retired,"Homeowners, Families",12.446961808,11.7063683031,-133133.997678,2657.0,2.7080502011
5267118,2016-05-18,97333,44.468069,-123.293831,<= $20,student,"Families, Low Density",12.4760158098,12.5405002242,17450.0806513,21105.0,1.60943791243
3793211,2016-04-30,12020,43.001589,-73.868123,<= $100,retired,"White, Middle income Single Family",11.1735710789,11.5582458062,33413.2999481,22446.0,3.91202300543
6969800,2016-03-07,37212,36.133877,-86.801254,<= $1000,Not Listed,"Families, Low Density",13.32469669,12.5583986465,-327653.571424,1330.0,5.52146091786
9232796,2016-04-14,98248,48.864419,-122.619419,<= $20,retired,"White, Middle income Single Family",10.987612065,10.8861089558,-5707.99962244,9941.0,2.94443897917
15759871,2016-07-01,12015,42.294057,-73.825116,<= $100,Not Listed,"White, Middle income Single Family",9.68731961496,8.98841927719,-8102.21436773,9209.0,3.91202300543
13713448,2015-08-12,04268,44.225867,-70.610021,<= $100,Not Listed,"White, Middle income Single Family",11.4374796753,8.37425062479,-88398.9807453,3417.0,3.21887582487
6179207,2016-05-15,91377,34.184975,-118.766918,<= $20,retired,"Homeowners, Families",11.5727780241,12.6384534335,202016.353589,24074.0,2.7080502011
15378347,2016-09-15,66216,39.013774,-94.741577,<= $20,Not Listed,"Suburban, White, Wealthy",12.0883021098,11.4907723018,-79970.9583832,3617.0,2.99573227355
2841485,2015-08-01,11215,40.662688,-73.98674,<= $1000,medical,Wealthy Urbanites (Renters),14.5977975571,14.1060767571,-849282.613587,588.0,5.52146091786
6401248,2016-04-07,91010,34.141586,-117.957627,<= $1000,retired,"Hispanic, non citizens, low income",11.2291557293,10.6594746419,-32699.74594,5734.0,5.0106352941
12887123,2016-04-28,21224,39.27486,-76.542833,<= $100,legal,"Families, Low Density",13.1434710351,11.8838939934,-365752.253395,1211.0,3.295836866
9135521,2016-05-14,84103,40.79508,-111.842571,<= $20,Not Listed,"Families, Low Density",14.2481653211,13.3771876295,-896226.577564,553.0,1.60943791243
5141715,2015-12-04,80524,40.646857,-105.029513,<= $20,Not Listed,"Families, Low Density",16.2149704243,11.43369496,-10924841.3047,40.0,0.0
9728250,2015-08-17,37069,35.987493,-86.903598,<= $1000,Not Listed,"Suburban, White, Wealthy",13.9117475808,12.7903001182,-742299.031707,671.0,5.0106352941
3169236,2015-07-09,53217,43.158204,-87.913225,<= $20,Not Listed,"Suburban, White, Wealthy",15.2979542921,13.6907444674,-3520990.64889,149.0,1.60943791243
3901950,2016-07-30,85712,32.252886,-110.886567,<= $100,Not Listed,"Families, Low Density",12.4083112022,12.036790034,-75973.9461688,3735.0,3.21887582487
16617534,2016-06-30,04252,44.036688,-70.058799,<= $1000,business,"White, Middle income Single Family",9.69535575884,8.61800151222,-10711.6769406,8585.0,5.29831736655
11908122,2016-05-19,92111,32.806476,-117.168879,<= $100,Not Listed,"Homeowners, Families",11.9433628214,12.2902046643,63761.4981384,23374.0,3.91202300543
15925104,2016-09-21,90814,33.771616,-118.143631,<= $100,Not Listed,"Families, Low Density",12.3533972233,12.8675430891,155781.886001,23983.0,4.5747109785
9444450,2015-09-19,76049,32.460255,-97.706784,<= $100,retired,"Suburban, White, Wealthy",12.6956950616,10.7885278553,-277878.359071,1513.0,3.91202300543
12119941,2015-09-22,75901,31.301675,-94.641408,<= $1000,Not Listed,"Young Kids, Multi-racial, Low Density",11.0970766321,11.5474734816,37537.1731658,22653.0,5.52146091786
11086111,2015-08-28,90501,33.833744,-118.314022,<= $100,Not Listed,"Hispanic, non citizens, low income",13.2926545248,11.3715376427,-506009.744252,918.0,3.66356164613
8874602,2016-01-27,56001,44.128125,-93.97899,<= $100,retired,"Families, Low Density",12.5534000369,11.3560952048,-197571.085157,1980.0,4.60517018599
1294515,2016-02-29,20817,38.997272,-77.151816,<= $100,retired,"Homeowners, Families",15.6667680539,14.1072318542,-5029092.1434,94.0,3.36729582999
10233178,2016-04-07,30265,33.418625,-84.713134,<= $100,retired,"Suburban, White, Wealthy",11.5213895434,11.6716504293,16351.5556251,20975.0,3.91202300543
886870,2016-02-29,10538,40.937752,-73.756473,<= $1000,retired,"Homeowners, Families",15.041351502,11.8625439153,-3265177.37929,161.0,5.29831736655
11779676,2015-07-12,85395,33.478693,-112.395249,<= $20,Not Listed,"Suburban, White, Wealthy",11.303068258,12.1291532282,104122.893457,23791.0,2.7080502011
11788540,2016-06-27,86401,35.131719,-113.703932,<= $1000,retired,"Families, Low Density",11.127086498,10.1665132989,-41970.79578,5082.0,5.52146091786
11572646,2016-04-12,43232,39.920951,-82.870492,<= $100,Not Listed,"Low Income, African American",10.3456381115,10.4564076957,3645.4352391,17179.0,4.60517018599
10175404,2016-06-17,24018,37.213055,-80.041739,<= $5000,Not Listed,"Families, Low Density",14.6056528617,12.4926622793,-1937334.49125,249.0,8.51719319142
1248893,2015-12-31,22124,38.89548,-77.331607,<= $1000,Not Listed,"Homeowners, Families",13.5974577767,12.8073185761,-439204.910229,1029.0,5.0106352941
13439718,2016-02-26,46563,41.356728,-86.327261,<= $100,retired,"White, Middle income Single Family",11.2117933448,10.3314482277,-43315.4849891,5018.0,4.60517018599
10535139,2016-05-22,31520,31.180919,-81.493973,<= $20,legal,"Low Income, African American",9.80372246435,10.5015478983,18270.7589072,21212.0,2.30258509299
14742397,2016-01-28,40511,38.14029,-84.46161,<= $100,Not Listed,"Families, Low Density",14.6844316562,11.3467829819,-2299644.4447,215.0,3.21887582487
14263833,2015-06-12,07040,40.730785,-74.268919,<= $1000,Not Listed,"Homeowners, Families",13.7796076947,12.8165811261,-596460.507947,797.0,4.74493212836
12957962,2016-03-06,33437,26.512045,-80.148962,<= $100,Not Listed,"White, Middle income Single Family",11.8778185473,11.8084554742,-9652.15831977,8817.0,3.295836866
11362393,2016-02-09,34990,27.137133,-80.346948,<= $1000,Not Listed,"Suburban, White, Wealthy",14.0945095413,11.6165587319,-1210886.63977,402.0,6.90775527898
9251662,2016-05-06,33145,25.753132,-80.234427,<= $20,legal,"Hispanic, non citizens, low income",12.2504004874,11.0344071952,-147094.905855,2470.0,1.60943791243
6434229,2015-10-23,91355,34.439855,-118.644401,<= $100,Not Listed,"Homeowners, Families",12.656335833,12.4439826739,-60025.9899647,4254.0,3.91202300543
14248645,2016-07-05,93950,36.621181,-121.925179,<= $20,retired,"Homeowners, Families",12.2081055777,11.6995587518,-79888.4753298,3620.0,1.60943791243
