,date,Zipcode,LAT,LNG,transaction_size,job_class,clusterName,logDollars
608258,2015-08-14,45895,40.577695,-84.154664,<= $100,retired,"White, Middle income Single Family",4.60517018599
8059223,2016-08-22,21163,39.337527,-76.848247,<= $100,Not Listed,Low Income African American,3.55534806149
15864292,2016-01-21,78752,30.331813,-97.704287,<= $20,Not Listed,"Hispanic, non citizens, low income",2.07944154168
14882087,2016-09-26,10040,40.858305,-73.930549,<= $100,Not Listed,Wealthy Urbanites (Renters),3.21887582487
7586560,2016-05-11,57106,43.507512,-96.840667,<= $1000,Not Listed,"Families, Low Density",5.52146091786
1179789,2015-07-23,91001,34.194489,-118.138263,<= $100,Not Listed,"Homeowners, Families",3.21887582487
7397896,2016-06-30,60615,41.801647,-87.596288,<= $100,Not Listed,Low Income African American,3.21887582487
9125189,2015-06-30,43050,40.373976,-82.492721,<= $1000,Not Listed,"White, Middle income Single Family",5.70378247466
3385999,2016-08-31,01810,42.648044,-71.161751,<= $20,Not Listed,"Homeowners, Families",0.69314718056
15789170,2015-07-02,37388,35.343672,-86.221295,<= $100,Not Listed,"White, Middle income Single Family",3.33220451018
4176795,2016-05-31,60187,41.87272,-88.112442,<= $20,Not Listed,"Suburban, White, Wealthy",2.7080502011
9403653,2015-09-15,77079,29.776093,-95.603037,<= $20,Not Listed,"Suburban, White, Wealthy",2.8903717579
16447477,2016-01-13,80466,39.974483,-105.546992,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
15160602,2015-03-16,77831,30.726709,-95.90388,<= $1000,Not Listed,"White, Middle income Single Family",6.90775527898
12163020,2016-06-28,46240,39.906046,-86.124634,<= $100,Not Listed,"Families, Low Density",3.91202300543
1949671,2016-07-13,95123,37.244238,-121.831604,<= $100,Not Listed,"Homeowners, Families",4.38202663467
1514962,2016-05-04,53703,43.079575,-89.378389,<= $20,Not Listed,Wealthy Urbanites (Renters),2.30258509299
4381447,2015-07-10,19335,40.022618,-75.721218,<= $20,Not Listed,"Suburban, White, Wealthy",2.99573227355
4303909,2016-07-21,87122,35.191009,-106.501625,<= $100,retired,"Suburban, White, Wealthy",4.60517018599
16140527,2016-01-05,47460,39.285969,-86.792025,<= $100,retired,"White, Middle income Single Family",4.60517018599
5479869,2015-12-22,50111,41.700917,-93.803929,<= $100,retired,"Families, Low Density",3.21887582487
7038246,2015-09-15,73401,34.203289,-97.11552,<= $100,engineer,"White, Middle income Single Family",4.60517018599
10216168,2015-04-13,38119,35.079511,-89.845385,<= $1000,Not Listed,"Families, Low Density",6.10924758276
8025494,2016-02-04,40004,37.803188,-85.465955,<= $100,retired,"White, Middle income Single Family",3.91202300543
4799274,2016-04-27,63105,38.644308,-90.328202,<= $100,legal,"Families, Low Density",4.60517018599
16716355,2016-08-30,15225,40.50668,-80.113844,<= $1000,retired,"White, Middle income Single Family",5.29831736655
1022253,2015-12-29,98119,47.638679,-122.370946,<= $20,Not Listed,"Families, Low Density",1.60943791243
13017349,2016-03-11,77550,29.310535,-94.775768,<= $100,Not Listed,Low Income African American,3.91202300543
7044955,2016-08-12,66610,38.976726,-95.844565,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
15896595,2016-05-28,32667,29.513704,-82.304844,<= $20,medical,"White, Middle income Single Family",0.0
1585251,2016-07-24,10023,40.775921,-73.982607,<= $100,legal,Wealthy Urbanites (Renters),3.55534806149
5168765,2015-11-08,10968,41.037017,-73.921259,<= $20,Not Listed,"Homeowners, Families",0.69314718056
16934173,2015-11-10,39335,32.533136,-88.49109,<= $100,retired,Low Income African American,4.60517018599
16859268,2016-05-29,42733,37.343603,-85.18643,<= $20,farmer,"White, Middle income Single Family",2.56494935746
11860470,2016-04-25,85224,33.323672,-111.878461,<= $1000,Not Listed,"Families, Low Density",5.52146091786
13026628,2016-02-23,87113,35.180966,-106.593627,<= $20,Not Listed,"Young Kids, Multi-racial, Low Density",1.38629436112
4563355,2016-07-29,22042,38.865024,-77.197125,<= $1000,Not Listed,"Homeowners, Families",5.25749537203
11999961,2016-04-16,60120,42.034492,-88.238396,<= $20,Not Listed,"Hispanic, non citizens, low income",2.56494935746
2796381,2016-09-13,94920,37.885629,-122.46858,<= $1000,retired,"Homeowners, Families",5.52146091786
14338542,2016-08-26,28714,35.889455,-82.304119,<= $20,retired,"White, Middle income Single Family",2.30258509299
13907064,2015-11-19,23117,37.982002,-77.873977,<= $20,retired,"White, Middle income Single Family",2.94443897917
471353,2016-04-17,77406,29.64609,-95.794526,<= $20,Not Listed,"Young Kids, Multi-racial, Low Density",1.60943791243
16801628,2016-02-21,13731,42.12965,-74.787822,<= $20,Not Listed,"White, Middle income Single Family",2.7080502011
14238568,2015-10-28,01451,42.501908,-71.568201,<= $20,retired,"Homeowners, Families",2.30258509299
8604001,2015-12-18,20785,38.918291,-76.881948,<= $100,Not Listed,Low Income African American,3.21887582487
2778022,2016-08-27,10128,40.781432,-73.950013,<= $100,Not Listed,Wealthy Urbanites (Renters),3.21887582487
1529704,2015-12-04,20008,38.936238,-77.059981,<= $20,Not Listed,Wealthy Urbanites (Renters),2.94443897917
16545058,2016-04-20,05201,42.869211,-73.128516,<= $100,Not Listed,"Families, Low Density",3.25809653802
15624893,2016-04-10,07035,40.927501,-74.308334,<= $20,Not Listed,"Homeowners, Families",1.60943791243
10996705,2015-10-20,27701,35.99924,-78.897944,<= $100,Not Listed,Low Income African American,3.91202300543
11552908,2015-04-16,77040,29.874575,-95.527099,<= $100,Not Listed,"Young Kids, Multi-racial, Low Density",3.36729582999
11770321,2016-01-21,75080,32.976063,-96.74208,<= $20,Not Listed,"Homeowners, Families",2.30258509299
6407945,2016-05-07,92008,33.147294,-117.322181,<= $100,Not Listed,"Homeowners, Families",3.295836866
13328569,2016-08-30,48183,42.131459,-83.217792,<= $100,retired,"White, Middle income Single Family",3.21887582487
5889722,2015-09-29,98038,47.419378,-121.958008,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
14090901,2016-07-31,85373,33.671423,-112.299656,<= $20,Not Listed,"White, Middle income Single Family",1.38629436112
14281273,2015-02-17,10464,40.867787,-73.79992,<= $1000,medical,"White, Middle income Single Family",5.37063802813
10134010,2016-04-22,41017,39.029195,-84.562134,<= $100,Not Listed,"White, Middle income Single Family",3.33220451018
2056661,2016-02-25,92821,33.927561,-117.887086,<= $20,Not Listed,"Homeowners, Families",2.30258509299
14926384,2015-04-03,03109,42.963734,-71.40035,<= $100,Not Listed,"White, Middle income Single Family",3.63758615973
6973699,2015-12-31,30342,33.882179,-84.375289,<= $100,Not Listed,"Families, Low Density",4.47733681448
6404902,2016-03-07,78757,30.351538,-97.732571,<= $100,Not Listed,"Families, Low Density",4.60517018599
4979552,2015-08-12,10025,40.798601,-73.966622,<= $20,retired,Wealthy Urbanites (Renters),1.60943791243
101935,2016-03-30,68116,41.298337,-96.166754,<= $100,retired,"Suburban, White, Wealthy",3.91202300543
14997135,2015-06-26,38351,35.671109,-88.399952,<= $20,Not Listed,"White, Middle income Single Family",2.30258509299
9575494,2016-05-22,43235,40.118363,-83.027626,<= $20,Not Listed,"Families, Low Density",0.69314718056
13504570,2015-07-17,55112,45.081866,-93.190493,<= $1000,Not Listed,"Families, Low Density",4.8283137373
2517843,2016-02-02,10065,40.764612,-73.963122,<= $1000,retired,Wealthy Urbanites (Renters),5.52146091786
6931335,2016-05-31,75034,33.146638,-96.855822,<= $100,Not Listed,"Suburban, White, Wealthy",3.55534806149
10281462,2015-09-23,11561,40.589081,-73.648178,<= $100,retired,"Homeowners, Families",3.91202300543
11275999,2016-08-02,33772,27.844208,-82.796854,<= $1000,retired,"White, Middle income Single Family",5.21493575761
11035542,2016-06-04,48323,42.570804,-83.377909,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
11359743,2015-07-31,34990,27.137133,-80.346948,<= $1000,Not Listed,"Suburban, White, Wealthy",5.70378247466
15239855,2016-05-31,03036,42.98453,-71.255104,<= $20,Not Listed,"Suburban, White, Wealthy",2.30258509299
10840683,2016-05-31,24502,37.360401,-79.221579,<= $20,Not Listed,"Families, Low Density",1.60943791243
9446128,2016-07-12,76049,32.460255,-97.706784,<= $100,retired,"Suburban, White, Wealthy",4.24849524205
10941592,2015-04-14,06010,41.681578,-72.940749,<= $20,retired,"Families, Low Density",2.30258509299
13682569,2015-03-23,31721,31.52526,-84.301465,<= $1000,Not Listed,"Families, Low Density",5.52146091786
627801,2016-09-14,23185,37.228498,-76.718509,<= $100,retired,"Families, Low Density",4.60517018599
14518071,2015-08-02,93906,36.722714,-121.633649,<= $100,retired,"Hispanic, non citizens, low income",3.55534806149
4316484,2016-09-11,21207,39.324167,-76.719484,<= $100,Not Listed,Low Income African American,4.60517018599
10883409,2016-03-07,07931,40.681427,-74.616525,<= $5000,Not Listed,"Homeowners, Families",7.82404601086
2030149,2015-12-15,75229,32.893295,-96.864339,<= $1000,Not Listed,"Homeowners, Families",6.90775527898
1576881,2016-04-29,10023,40.775921,-73.982607,<= $100,Not Listed,Wealthy Urbanites (Renters),3.63758615973
13799853,2016-06-07,08534,40.329422,-74.792789,<= $5000,Not Listed,"Homeowners, Families",7.90100705199
10877219,2016-06-30,63136,38.743304,-90.259776,<= $100,Not Listed,Low Income African American,3.21887582487
8696198,2015-09-30,81611,39.158172,-106.66856,<= $1000,Not Listed,"Homeowners, Families",5.52146091786
6768110,2016-03-07,92672,33.42411,-117.606775,<= $100,Not Listed,"Homeowners, Families",3.295836866
2631974,2016-04-02,92024,33.056022,-117.2599,<= $100,Not Listed,"Homeowners, Families",3.91202300543
1103080,2015-05-01,19103,39.952896,-75.174298,<= $100,Not Listed,Wealthy Urbanites (Renters),3.63758615973
1689860,2016-04-28,55105,44.93718,-93.168279,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
11052907,2016-02-02,14580,43.217283,-77.444534,<= $20,retired,"Suburban, White, Wealthy",2.94443897917
7375927,2016-02-02,53705,43.074014,-89.460509,<= $100,Not Listed,"Families, Low Density",3.295836866
8403484,2015-07-20,89134,36.202733,-115.30775,<= $20,Not Listed,"White, Middle income Single Family",1.60943791243
9167334,2015-09-28,94403,37.538449,-122.305447,<= $20,engineer,"Homeowners, Families",2.07944154168
14379162,2015-10-27,07801,40.917192,-74.554744,<= $1000,Not Listed,Wealthy Urbanites (Renters),5.52146091786
8787484,2016-07-05,48103,42.26135,-83.846458,<= $100,professor,"Families, Low Density",4.60517018599
7107883,2015-07-29,76092,32.959875,-97.148437,<= $100,Not Listed,"Suburban, White, Wealthy",3.91202300543
15096166,2016-08-15,65041,38.63302,-91.489758,<= $100,Not Listed,"White, Middle income Single Family",3.36729582999
14421796,2016-04-02,61802,40.131498,-88.15677,<= $100,professor,"Families, Low Density",3.21887582487
1512699,2016-01-31,53703,43.079575,-89.378389,<= $100,Not Listed,Wealthy Urbanites (Renters),3.91202300543
6221194,2015-11-27,98003,47.304801,-122.316969,<= $20,retired,"Families, Low Density",2.3978952728
3361522,2015-03-26,02467,42.314344,-71.152759,<= $5000,Not Listed,"Homeowners, Families",7.60090245954
1254579,2016-09-23,20120,38.856401,-77.476371,<= $100,retired,"Homeowners, Families",3.91202300543
13205132,2016-02-27,49010,42.533307,-85.874766,<= $100,retired,"White, Middle income Single Family",4.60517018599
7372856,2015-09-30,53705,43.074014,-89.460509,<= $100,Not Listed,"Families, Low Density",4.60517018599
3214276,2015-06-10,61822,40.136481,-88.305307,<= $20,Not Listed,"Suburban, White, Wealthy",2.7080502011
4819393,2015-07-20,19010,40.023624,-75.329727,<= $20,retired,"Families, Low Density",2.7080502011
2188580,2016-03-27,20007,38.914363,-77.079339,<= $1000,retired,"Families, Low Density",5.52146091786
15520807,2016-07-29,10974,41.168058,-74.178013,<= $100,retired,"Suburban, White, Wealthy",3.49650756147
14002121,2015-06-20,64155,39.272316,-94.580107,<= $100,Not Listed,"Families, Low Density",3.13549421593
700149,2015-06-29,19809,39.757786,-75.500953,<= $1000,Not Listed,"Families, Low Density",4.8283137373
3704712,2015-12-15,55391,44.956401,-93.538993,<= $100,finance,"Homeowners, Families",3.91202300543
9772336,2015-10-02,89012,36.011907,-115.043255,<= $100,Not Listed,"Suburban, White, Wealthy",3.91202300543
10835954,2016-06-04,32955,28.296697,-80.725043,<= $20,Not Listed,"White, Middle income Single Family",2.56494935746
13435520,2016-04-20,46151,39.457212,-86.43328,<= $1000,Not Listed,"White, Middle income Single Family",4.81218435537
6270667,2016-07-29,94706,37.889704,-122.295531,<= $1000,professor,"Homeowners, Families",5.29831736655
14527937,2015-08-14,21075,39.204096,-76.74936,<= $100,Not Listed,"Homeowners, Families",3.43398720449
4889627,2015-06-26,17011,40.23483,-76.928846,<= $20,Not Listed,"White, Middle income Single Family",2.77258872224
8340704,2015-06-08,91302,34.123305,-118.671025,<= $5000,Not Listed,"Homeowners, Families",7.90100705199
8629505,2016-08-19,85225,33.317448,-111.830487,<= $20,Not Listed,"Young Kids, Multi-racial, Low Density",2.7080502011
4557677,2016-07-01,22042,38.865024,-77.197125,<= $20,Not Listed,"Homeowners, Families",2.99573227355
3540205,2015-10-30,30328,33.932538,-84.385947,<= $100,Not Listed,"Families, Low Density",3.25809653802
15569233,2015-05-08,95742,38.577783,-121.201788,<= $1000,Not Listed,"Suburban, White, Wealthy",5.32300997914
4306274,2016-05-11,90042,34.114708,-118.192098,<= $20,Not Listed,"Hispanic, non citizens, low income",1.09861228867
6821451,2016-07-05,11101,40.747155,-73.93975,<= $100,Not Listed,"White, Middle income Single Family",4.60517018599
691358,2016-05-31,75252,32.997373,-96.788213,<= $20,Not Listed,"Families, Low Density",2.07944154168
12331019,2015-10-22,14830,42.128123,-77.031977,<= $20,Not Listed,"Families, Low Density",2.30258509299
16136361,2015-03-19,14892,42.046025,-76.529114,<= $100,Not Listed,"Families, Low Density",3.91202300543
15983039,2015-06-11,95357,37.672536,-120.887136,<= $1000,farmer,"Young Kids, Multi-racial, Low Density",6.90775527898
5486801,2015-08-14,10036,40.75926,-73.98986,<= $1000,Not Listed,Wealthy Urbanites (Renters),4.8283137373
5970277,2016-08-24,02818,41.642919,-71.485719,<= $1000,Not Listed,"Suburban, White, Wealthy",5.52146091786
6017667,2015-04-30,98168,47.489569,-122.29996,<= $100,Not Listed,"Families, Low Density",3.21887582487
2943956,2016-02-16,85255,33.668187,-111.822523,<= $20,Not Listed,"Homeowners, Families",2.30258509299
2480189,2016-04-28,20037,38.898889,-77.055456,<= $20,Not Listed,Wealthy Urbanites (Renters),2.7080502011
1682813,2016-07-27,60025,42.075201,-87.821026,<= $100,retired,"Suburban, White, Wealthy",3.91202300543
6648618,2016-05-14,37090,36.11174,-86.299189,<= $100,homemaker,"White, Middle income Single Family",3.295836866
1313075,2016-02-19,06830,41.037605,-73.624339,<= $20,Not Listed,"Homeowners, Families",1.60943791243
14107818,2015-04-29,01056,42.183577,-72.457812,<= $20,Not Listed,"White, Middle income Single Family",2.7080502011
6856129,2015-01-02,94104,37.791409,-122.40213,<= $100,Not Listed,Wealthy Urbanites (Renters),3.91202300543
4620710,2016-07-31,44286,41.233126,-81.643939,<= $1000,Not Listed,"Suburban, White, Wealthy",5.70378247466
6632924,2015-06-30,20871,39.261341,-77.282547,<= $100,Not Listed,"Homeowners, Families",3.21887582487
2806658,2016-07-05,98112,47.63281,-122.288511,<= $100,Not Listed,"Homeowners, Families",3.21887582487
3288448,2016-04-17,86001,35.287661,-111.639303,<= $20,medical,"Families, Low Density",2.7080502011
14521662,2016-07-11,55364,44.936989,-93.677783,<= $1000,Not Listed,"White, Middle income Single Family",5.01727983681
12906754,2016-01-16,86326,34.700031,-112.023634,<= $100,Not Listed,"White, Middle income Single Family",3.91202300543
10874277,2015-11-30,63136,38.743304,-90.259776,<= $1000,Not Listed,Low Income African American,5.16478597392
9337601,2016-04-30,02635,41.624054,-70.439397,<= $20,student,"Suburban, White, Wealthy",1.60943791243
12761992,2016-04-12,14225,42.928949,-78.750273,<= $20,Not Listed,"Families, Low Density",2.7080502011
10884810,2015-02-28,85122,32.917126,-111.744208,<= $1000,Not Listed,"Families, Low Density",5.52146091786
4995212,2016-03-16,10025,40.798601,-73.966622,<= $100,Not Listed,Wealthy Urbanites (Renters),4.60517018599
8151542,2015-12-15,10017,40.75236,-73.972493,<= $100,Not Listed,"White, Middle income Single Family",4.14313472639
3415118,2015-08-01,37922,35.860496,-84.100535,<= $100,Not Listed,"Suburban, White, Wealthy",4.00733318523
5348870,2015-08-14,50266,41.570085,-93.798416,<= $100,Not Listed,"Families, Low Density",3.04452243772
4518101,2015-09-11,22042,38.865024,-77.197125,<= $20,Not Listed,"Homeowners, Families",2.99573227355
15852623,2016-08-06,79401,33.588771,-101.850444,<= $100,retired,"Families, Low Density",3.21887582487
7905908,2015-10-28,48104,42.263484,-83.71512,<= $20,Not Listed,"Families, Low Density",1.60943791243
13244926,2015-03-13,08085,39.761129,-75.32406,<= $1000,Not Listed,"Suburban, White, Wealthy",4.74493212836
6091015,2015-09-17,30097,34.026142,-84.145592,<= $5000,Not Listed,"Suburban, White, Wealthy",6.90875477932
5688236,2016-05-13,98004,47.618337,-122.205341,<= $100,Not Listed,"Homeowners, Families",3.40119738166
8749672,2016-07-21,93110,34.446201,-119.762794,<= $100,Not Listed,"Homeowners, Families",3.91202300543
12843108,2016-04-08,96818,21.343331,-157.941721,<= $100,Not Listed,"Families, Low Density",3.295836866
4955433,2015-10-31,80602,39.966363,-104.908709,<= $1000,Not Listed,"Suburban, White, Wealthy",4.69134788223
9190668,2015-04-05,76262,33.009335,-97.22672,<= $100,Not Listed,"Suburban, White, Wealthy",4.02535169074
1535704,2016-02-16,20008,38.936238,-77.059981,<= $100,medical,Wealthy Urbanites (Renters),3.55534806149
5406947,2015-10-30,97402,44.047736,-123.230905,<= $100,Not Listed,"Families, Low Density",3.58351893846
16819616,2015-09-22,76933,31.856368,-100.288351,<= $1000,retired,"White, Middle income Single Family",5.29831736655
7761176,2016-04-24,53132,42.883879,-88.011548,<= $20,Not Listed,"Suburban, White, Wealthy",2.7080502011
13545400,2016-08-03,85929,34.184683,-109.939822,<= $100,retired,"Families, Low Density",3.55534806149
4247039,2016-07-06,60440,41.7006,-88.075006,<= $20,Not Listed,"Homeowners, Families",0.0
13471430,2016-05-30,27705,36.022136,-78.975659,<= $100,Not Listed,"Families, Low Density",4.31748811354
2616073,2016-08-27,02445,42.325483,-71.135045,<= $100,Not Listed,Wealthy Urbanites (Renters),4.09434456222
9250966,2016-02-11,33145,25.753132,-80.234427,<= $20,Not Listed,"Hispanic, non citizens, low income",2.30258509299
12691457,2015-09-20,94014,37.690884,-122.447441,<= $20,Not Listed,Wealthy Urbanites (Renters),2.7080502011
4146531,2015-07-02,60004,42.11278,-87.979542,<= $100,Not Listed,"Homeowners, Families",3.91202300543
12777748,2015-12-31,15656,40.656904,-79.629005,<= $20,Not Listed,"White, Middle income Single Family",1.60943791243
4894153,2016-05-06,17011,40.23483,-76.928846,<= $100,Not Listed,"White, Middle income Single Family",3.295836866
13058687,2016-08-18,36330,31.305932,-85.864054,<= $100,retired,Low Income African American,4.31748811354
8594544,2016-06-30,48322,42.537824,-83.384526,<= $100,Not Listed,"Suburban, White, Wealthy",3.91202300543
14550000,2016-05-06,08536,40.33229,-74.581076,<= $100,Not Listed,"Homeowners, Families",3.40119738166
3725393,2016-08-06,95403,38.503685,-122.754057,<= $20,Not Listed,"Homeowners, Families",2.30258509299
7278658,2016-03-14,10002,40.715775,-73.986212,<= $20,Not Listed,Wealthy Urbanites (Renters),2.7080502011
3454268,2015-11-30,38804,34.281378,-88.672873,<= $100,legal,Low Income African American,4.60517018599
7382124,2015-03-26,30308,33.771126,-84.378108,<= $5000,Not Listed,Wealthy Urbanites (Renters),7.60090245954
2023780,2015-11-07,78749,30.216184,-97.85585,<= $100,Not Listed,"Families, Low Density",3.21887582487
16259459,2016-04-30,96722,22.188349,-159.460872,<= $20,Not Listed,"Homeowners, Families",2.7080502011
13687044,2015-11-02,96707,21.363106,-158.082206,<= $100,Not Listed,"Homeowners, Families",3.21887582487
10091212,2015-07-07,87505,35.616964,-105.877135,<= $100,Not Listed,"Homeowners, Families",3.91202300543
2339578,2016-05-13,61602,40.674562,-89.608597,<= $100,retired,Low Income African American,3.91202300543
3680311,2016-07-31,78257,29.660485,-98.583454,<= $100,Not Listed,"White, Middle income Single Family",3.36729582999
6299895,2015-10-10,37601,36.338162,-82.318108,<= $20,medical,Low Income African American,2.30258509299
4121052,2015-07-03,33140,25.819714,-80.133711,<= $20,Not Listed,Wealthy Urbanites (Renters),1.60943791243
12518208,2016-10-01,02324,41.972387,-70.978778,<= $100,Not Listed,"White, Middle income Single Family",4.60517018599
1286972,2016-08-21,22314,38.806853,-77.056374,<= $1000,Not Listed,Wealthy Urbanites (Renters),5.52146091786
10761085,2016-05-10,35758,34.711417,-86.74651,<= $100,Not Listed,"Families, Low Density",3.91202300543
5498447,2016-07-29,10036,40.75926,-73.98986,<= $100,Not Listed,Wealthy Urbanites (Renters),3.68887945411
435611,2015-08-17,51534,41.046593,-95.714836,<= $100,Not Listed,"White, Middle income Single Family",3.82864139649
12390752,2016-08-22,02135,42.349688,-71.153964,<= $20,Not Listed,Wealthy Urbanites (Renters),1.60943791243
1796814,2016-02-10,90265,34.066117,-118.846342,<= $100,legal,"Homeowners, Families",3.21887582487
8514686,2016-06-22,95033,37.160846,-121.983966,<= $100,Not Listed,"Homeowners, Families",4.60517018599
12926252,2016-06-19,12498,42.045663,-74.109618,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
14171391,2015-07-10,87110,35.108194,-106.578147,<= $100,Not Listed,"Young Kids, Multi-racial, Low Density",3.91202300543
5880844,2015-05-31,34236,27.316487,-82.553527,<= $100,Not Listed,"Homeowners, Families",3.73766961828
10860013,2015-07-20,44011,41.4451,-82.005109,<= $1000,Not Listed,"Suburban, White, Wealthy",6.90775527898
11528237,2016-02-17,85050,33.682738,-111.998063,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
8448733,2015-09-29,02141,42.3703,-71.08256,<= $1000,Not Listed,Wealthy Urbanites (Renters),6.21460809842
8857304,2016-05-31,93292,36.37559,-119.211689,<= $1000,Not Listed,"Young Kids, Multi-racial, Low Density",4.8283137373
1740022,2016-03-21,94303,37.45788,-122.115158,<= $100,retired,"Homeowners, Families",3.91202300543
8647888,2016-04-30,80206,39.730282,-104.952592,<= $100,Not Listed,"Families, Low Density",4.60517018599
11123755,2016-08-03,92057,33.254619,-117.283341,<= $100,retired,"Homeowners, Families",3.40119738166
